data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,inter1,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1354433,566,NIG11918,11918,24 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Benue,Makurdi,Mbalagh,7.8185,8.4634,2,Vanguard (Lagos),National,"Property destruction: Fulanis ransacked Mbatoho Chile, an island (presumably in the Benue River) close to Benue State Government House, at Mbalagh council ward. Property reported destroyed. 5,000 displaced. The attack began on 24/02, but continued until at least 28/02.",0,1524053820,NGA
1354435,566,NIG11920,11920,24 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Kogi,Lokoja,Kapu,8.6333,6.3,1,This Day (Lagos),National,"Suspected Fulani herdsmen at the weekend allegedly ambushed and killed a 15-year-old boy at Guchidan village of Kupa district, Lokoja Local Government Area of Kogi State.",1,1524053820,NGA
1354731,566,NIG11909,11909,22 February 2018,2018,1,Strategic development,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Adamawa,Yola North,Yola,9.2,12.4833,1,Vanguard (Lagos),National,Agreement: Farmers and Fulani herdsmen adopt a ceasefire agreement following two days of talks in Yola.,0,1524053821,NGA
1354934,566,NIG11907,11907,21 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Delta,Ethiope East,Abraka,5.7902,6.1047,1,Vanguard (Lagos),National,One dead and a second wounded in a Fulani attack on Abraka.,1,1524053821,NGA
1355175,566,NIG11900,11900,20 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Kogi,Mopa-Muro,Mopa,8.1,5.9,1,This Day (Lagos),National,"Some suspected herdsmen have invaded the farmland of late Chief Silas Daniyan, SBD Farms Limited in Mopa, killing one person and carted away 99 cows from the farm.",1,1524053821,NGA
1356309,566,NIG11877,11877,14 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Edo,Ikpoba Okha,Idogbo,6.2667,5.7167,2,Vanguard (Lagos),National,"After a group of vigilantes attempt to arrest a suspected Fulani militia member, a second group of Fulanis attack and killed the vigilante leader, and free the suspect. Following the attack, a group of residents protested the killing.",1,1524053822,NGA
1356522,566,NIG11876,11876,13 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Ondo,Akure South,Akure,7.2526,5.1931,1,Vanguard (Lagos),National,"Fulani militats attack areas of Akure on 13/02, casing a number of people to flee. Machete injuries reported.",0,1524053822,NGA
1356711,566,NIG11870,11870,12 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Kogi,Ankpa,Ankpa,7.3706,7.6253,2,This Day (Lagos),National,A 45-year-old man has been killed by Fulanis after invading his farmland and destroying other farm produce in Ankpa Local Government Areal of Kogi State. The incident occurred on Monday evening at Uferance Emekuku.,1,1524053822,NGA
1356710,566,NIG11861,11861,12 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Benue,Logo,Ugba,7.5,9.3333,2,The Sun (Nigeria),National,"A suspected herdsman is shot and killed by police in Ayilamo, a community in Logo LGA.",1,1524053822,NGA
1356712,566,NIG11862,11862,12 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,34,Western Africa,Nigeria,Benue,Guma,Gbajimba,7.8155,8.8604,2,Vanguard (Lagos),National,"Two operatives of Nigeria Security and Civil Defence Corps, NSCDC have been reportedly killed by suspected armed herdsmen at Korakga Uvir in Guma local government area of Benue state.",2,1524053822,NGA
