"('State', '')","('mean', 'Admission into nigerian universities, Female')","('mean', 'Admission into nigerian universities, Male')","('mean', 'Adult Literacy in Any Language, Percent, Female')","('mean', 'Adult Literacy in Any Language, Percent, Male')","('mean', 'Application into nigerian universities, Female')","('mean', 'Application into nigerian universities, Male')","('mean', 'Household Size, Average, Total')","('mean', ""National teachers' institute student enrolment on distance leaning, Female"")","('mean', ""National teachers' institute student enrolment on distance leaning, Male"")","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Fairly rich')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Moderate')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Poor')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Rich')","('mean', 'Percentage Distribution of Household Livelihood Based on Income, Very poor')","('mean', 'Percentage Distribution of Households that think Reduction of Poverty is Priority of Government, No')","('mean', 'Percentage Distribution of Households that think Reduction of Poverty is Priority of Government, Yes')","('mean', 'Percentage Distribution of Persons 15 Years and Above Who Attended a Literacy Course, No')","('mean', 'Percentage Distribution of Persons 15 Years and Above Who Attended a Literacy Course, Yes')","('mean', 'Percentage of Persons Who Can Read a Simple Letter in English Language 15 Years and Above, No')","('mean', 'Percentage of Persons Who Can Read a Simple Letter in English Language 15 Years and Above, Yes')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Hausa')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Ibo')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Other')","('mean', 'Percentage of Persons Who Can Read and Write in Hausa, Ibo or Yoruba, 15 Years and Above, Yoruba')","('mean', 'Total employment in crop farming, 000, Female')","('mean', 'Total employment in crop farming, 000, Male')","('mean', 'Unemployment Rates by State')",Unnamed: 0,MPI data source,"Subnational 
region",MPI of the country,MPI of the region,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking 
fuel",Sanitation,Drinking water,Electricity,Housing,Assets,Year of the survey,Population 2016,Population 2017,Population share by region,"Population size by 
region","Total number of indicators included 
(out of ten)"
Katsina,190.5,491.0,23.639999999999997,41.92,1558.2,4619.4,5.92,279.5,512.5,4.5,46.2,40.8,0.7,7.9,16.5,83.5,98.5,1.5,83.3,16.7,70.3,0.4,28.7,0.7,299.6666666666667,2546.3333333333335,19.457142857142856,17.0,2016-2017,Katsina,0.2911579310894012,0.4615422189235687,67.17129945755005,18.7778040766716,41.84446036815643,46.32941782474518,95.48417329788208,72.25455045700073,49.995461106300354,68.1023359298706,71.14693522453308,27.12399959564209,190886.3125,185989.640625,190886.3125,0.0605806559324264,11564.017578125,10.0
Kebbi,153.0,485.75,31.04,47.32000000000001,921.0,3578.4,6.7,195.0,462.25,5.3,46.3,39.6,2.2,6.6,41.0,59.0,98.1,1.9,83.7,16.3,64.3,0.3,34.3,1.1,150.33333333333334,556.0,13.642857142857142,18.0,2016-2017,Kebbi,0.2911579310894012,0.491155743598938,60.05271077156067,21.31311744451523,49.37812685966492,60.54655313491821,93.95166635513306,69.38945651054382,47.11064398288727,56.85464143753052,75.53515434265137,32.61823058128357,190886.3125,185989.640625,190886.3125,0.02990641631186,5708.7255859375,10.0
Kogi,1298.75,2316.5,47.42,66.97999999999999,13279.8,22749.0,4.0,217.25,123.5,2.9,58.7,32.2,0.4,5.8,32.7,67.3,99.4,0.6,43.4,56.6,6.2,1.4,48.1,44.3,275.6666666666667,466.0,13.214285714285714,19.0,2016-2017,Kogi,0.2911579310894012,0.1350235939025879,24.69232976436615,4.809588566422463,6.664781272411346,9.512925893068314,82.51211643218994,78.46921682357788,41.778141260147095,51.85519456863403,34.61344540119171,16.432251036167145,190886.3125,185989.640625,190886.3125,0.0174137186259031,3324.04052734375,10.0
Kwara,673.5,1167.75,42.519999999999996,58.4,10539.4,16647.8,4.28,317.25,193.25,2.4,57.0,36.6,0.2,3.8,33.7,66.3,98.7,1.3,53.4,46.6,2.3,0.6,16.1,81.1,191.0,323.0,8.028571428571428,20.0,2016-2017,Kwara,0.2911579310894012,0.1439507454633712,24.719364941120148,2.793436124920845,23.64053577184677,12.368319183588028,76.06877088546753,77.88345217704773,21.17083072662353,27.79501676559448,22.010882198810577,23.00100028514862,190886.3125,185989.640625,190886.3125,0.0147036341950297,2806.722412109375,10.0
Lagos,1070.75,1398.25,72.64,86.52000000000001,11744.0,14833.4,4.08,1234.75,208.25,8.3,66.2,20.5,0.7,4.3,36.0,64.0,98.9,1.1,15.7,84.3,2.0,16.6,11.5,69.8,9.666666666666666,18.666666666666668,15.214285714285714,21.0,2016-2017,Lagos,0.2911579310894012,0.0098099447786808,13.018785417079926,3.648067638278008,1.6825953498482704,1.9372079521417616,3.345613554120064,56.04365468025208,4.4945016503334045,0.8463356643915176,2.952517196536064,6.537768989801407,190886.3125,185989.640625,190886.3125,0.0418028719723224,7979.59619140625,10.0
Nassarawa,270.0,734.25,41.6,64.22,2808.0,6880.0,5.279999999999999,86.25,108.75,5.9,60.0,26.9,0.2,7.0,44.4,55.6,99.5,0.5,50.6,49.4,75.5,1.5,21.7,1.3,411.0,397.3333333333333,9.428571428571429,,,,,,,,,,,,,,,,,,,,,
Niger,217.75,522.75,34.980000000000004,56.5,2081.2,4606.6,5.4,285.75,305.75,7.7,59.6,25.1,0.7,6.9,28.5,71.5,98.0,2.0,65.0,35.0,52.9,2.5,40.3,4.2,293.0,639.0,7.871428571428571,23.0,2016-2017,Niger,0.2911579310894012,0.3615491688251495,44.59543824195862,17.914918065071106,35.96985340118408,48.34130108356476,93.99970769882202,66.98066592216492,50.15662908554077,45.84849178791046,48.82116615772247,15.214742720127106,190886.3125,185989.640625,190886.3125,0.0437969155609607,8360.2314453125,10.0
Ogun,1629.5,2132.75,58.96,71.60000000000001,21921.4,26933.2,3.3,715.75,314.5,5.2,69.2,21.8,1.0,2.7,22.2,77.8,99.1,0.9,38.6,61.4,0.6,2.0,4.2,93.1,73.0,205.66666666666666,7.485714285714287,24.0,2016-2017,Ogun,0.2911579310894012,0.0573563203215599,19.86689269542694,3.716392442584038,7.470375299453735,3.876154497265816,29.16812598705292,68.77717971801758,14.72545713186264,21.519193053245544,17.132140696048737,11.983869969844818,190886.3125,185989.640625,190886.3125,0.0126911858096718,2422.57373046875,10.0
Ondo,1593.0,2510.5,63.02,78.39999999999999,16719.2,24821.0,3.7,687.5,301.5,3.4,44.2,46.4,0.0,5.9,23.0,77.0,98.8,1.2,32.7,67.3,0.4,3.9,5.6,90.0,149.33333333333334,244.33333333333334,10.799999999999999,25.0,2016-2017,Ondo,0.2911579310894012,0.0846951901912689,16.316787898540497,4.297956451773644,8.279585093259811,2.950480207800865,59.3661904335022,78.0213475227356,28.253456950187683,40.72911739349365,22.81918376684189,19.463638961315155,190886.3125,185989.640625,190886.3125,0.0193637087941169,3696.26708984375,10.0
Osun,1411.0,2059.25,58.9,77.02,18321.4,26493.6,3.84,204.0,139.0,7.0,65.3,23.6,2.3,1.9,20.1,79.9,98.6,1.4,40.9,59.1,1.4,1.2,1.4,96.0,191.33333333333334,321.3333333333333,8.528571428571428,26.0,2016-2017,Osun,0.2911579310894012,0.0450634434819221,17.179811000823975,5.492744594812393,6.600631028413773,3.981072455644608,49.9495267868042,74.84921216964722,18.40757131576538,21.520504355430603,12.1009461581707,10.4782335460186,190886.3125,185989.640625,190886.3125,0.0175857190042734,3356.873046875,10.0
Oyo,1062.75,1708.25,57.96,72.5,15542.2,22781.6,4.18,626.0,263.5,3.9,49.5,38.3,0.6,7.6,36.0,64.0,99.1,0.9,42.1,57.9,0.7,0.9,14.0,84.4,287.3333333333333,481.6666666666667,10.299999999999999,27.0,2016-2017,Oyo,0.2911579310894012,0.1084839329123497,20.45985758304596,4.877518862485886,12.058673053979874,10.354626178741457,44.18964385986328,77.89170742034912,25.615447759628296,31.05866312980652,21.32013589143753,14.388376474380491,190886.3125,185989.640625,190886.3125,0.0298438370227813,5696.77978515625,10.0
Plateau,222.5,428.75,50.339999999999996,67.30000000000001,2807.0,4442.4,5.640000000000001,305.25,196.5,4.0,55.9,31.1,1.4,7.6,32.9,67.1,98.2,1.8,45.6,54.4,90.6,1.0,7.3,1.1,635.0,613.6666666666666,5.185714285714285,28.0,2016-2017,Plateau,0.2911579310894012,0.2788780033588409,46.07119560241699,10.352705419063568,13.605092465877531,22.376511991024017,84.53933000564575,72.92360663414001,56.56216740608215,63.85478973388672,54.607826471328735,21.470151841640472,190886.3125,185989.640625,190886.3125,0.0365379899740219,6974.60205078125,10.0
Rivers,1571.25,1998.25,66.9,80.75999999999999,17636.0,21839.2,4.62,655.75,208.25,6.2,33.9,45.9,1.9,12.0,13.4,86.6,98.8,1.2,16.0,84.0,0.6,7.0,91.6,0.8,383.0,316.6666666666667,25.342857142857145,29.0,2016-2017,Rivers,0.2911579310894012,0.0289284791797399,8.627337962388992,3.5538282245397568,1.7867084592580795,3.975503519177437,43.28721463680267,61.35121583938599,20.62498778104782,17.24127233028412,11.0213004052639,9.039734303951263,190886.3125,185989.640625,190886.3125,0.0207792483270168,3966.47412109375,10.0
Sokoto,163.75,476.0,41.18,55.24000000000001,822.2,3434.8,5.359999999999999,33.5,179.25,7.5,59.4,23.3,1.1,8.6,30.0,70.0,98.1,1.9,85.0,15.0,60.2,0.3,39.1,0.5,320.0,1185.0,10.214285714285714,30.0,2016-2017,Sokoto,0.2911579310894012,0.5360352993011475,66.57720804214478,15.687945485115051,53.01993489265442,65.62826633453369,97.85524010658264,59.36932563781738,70.47602534294128,61.0021710395813,79.56252098083496,39.64614868164063,190886.3125,185989.640625,190886.3125,0.0285483542829751,5449.490234375,10.0
Taraba,113.0,303.0,38.300000000000004,58.4,1327.6,3148.6,5.279999999999999,235.0,414.0,5.4,29.8,54.3,0.4,10.1,33.9,66.1,98.4,1.6,60.7,39.3,49.3,0.2,49.4,1.2,360.3333333333333,458.3333333333333,16.8,31.0,2016-2017,Taraba,0.2911579310894012,0.3349073827266693,38.4539932012558,9.53228622674942,21.949857473373413,35.06714701652527,95.72047591209412,68.2267963886261,66.05292558670044,79.30859923362732,66.95014834403992,37.74192929267883,190886.3125,185989.640625,190886.3125,0.0157452579587698,3005.55419921875,10.0
Yobe,72.75,221.25,31.160000000000004,45.279999999999994,594.0,1895.4,5.720000000000001,183.0,248.75,3.3,49.7,35.4,0.5,11.0,38.9,61.1,98.2,1.8,80.8,19.2,56.4,2.1,39.5,2.1,457.0,594.6666666666666,17.485714285714288,32.0,2016-2017,Yobe,0.2911579310894012,0.4875659346580505,57.42167830467224,13.986194133758543,51.15259289741516,60.38671135902405,97.79373407363892,76.13000273704529,41.93238019943237,65.68313241004944,77.44327783584595,30.418741703033447,190886.3125,185989.640625,190886.3125,0.0309310890734195,5904.32177734375,10.0
Zamfara,72.0,314.75,38.82,49.760000000000005,485.0,2521.0,5.359999999999999,126.75,397.5,2.8,43.6,37.2,1.0,15.3,32.4,67.6,98.7,1.3,85.1,14.9,49.0,0.9,49.2,0.9,280.6666666666667,1039.3333333333333,32.357142857142854,33.0,2016-2017,Zamfara,0.2911579310894012,0.5180830359458923,63.07787299156189,30.01366555690765,45.06407678127289,63.94873857498169,95.22351026535034,58.765506744384766,55.248332023620605,70.27255892753601,72.81091213226318,28.31892073154449,190886.3125,185989.640625,190886.3125,0.0414250344038009,7907.47216796875,10.0
